Player,Team,Points,Season
Luka Dončić,DAL,2370.0,2024
Shai Gilgeous-Alexander,OKC,2254.0,2024
Giannis Antetokounmpo,MIL,2222.0,2024
Jalen Brunson,NYK,2212.0,2024
Nikola Jokić,DEN,2085.0,2024
Anthony Edwards,MIN,2049.0,2024
Kevin Durant,PHO,2032.0,2024
Jayson Tatum,BOS,1987.0,2024
De'Aaron Fox,SAC,1966.0,2024
Stephen Curry,GSW,1956.0,2024
DeMar DeRozan,CHI,1897.0,2024
Anthony Davis,LAL,1876.0,2024
Devin Booker,PHO,1841.0,2024
LeBron James,LAL,1822.0,2024
Tyrese Maxey,PHI,1816.0,2024
Paolo Banchero,ORL,1804.0,2024
Damian Lillard,MIL,1775.0,2024
Dejounte Murray,ATL,1753.0,2024
Pascal Siakam,2TM,1737.0,2024
Pascal Siakam,TOR,865.0,2024
Pascal Siakam,IND,872.0,2024
Paul George,LAC,1671.0,2024
Kawhi Leonard,LAC,1613.0,2024
Jaylen Brown,BOS,1610.0,2024
Jalen Green,HOU,1610.0,2024
Mikal Bridges,BRK,1606.0,2024
Zion Williamson,NOP,1601.0,2024
Domantas Sabonis,SAC,1593.0,2024
Kyle Kuzma,WAS,1553.0,2024
Victor Wembanyama,SAS,1522.0,2024
Coby White,CHI,1509.0,2024
Kyrie Irving,DAL,1487.0,2024
Jaren Jackson Jr.,MEM,1486.0,2024
Cam Thomas,BRK,1482.0,2024
Donovan Mitchell,CLE,1463.0,2024
Collin Sexton,UTA,1458.0,2024
Miles Bridges,CHO,1449.0,2024
Franz Wagner,ORL,1421.0,2024
Cade Cunningham,DET,1405.0,2024
Tyrese Haliburton,IND,1389.0,2024
Trae Young,ATL,1389.0,2024
Klay Thompson,GSW,1375.0,2024
Nikola Vučević,CHI,1370.0,2024
D'Angelo Russell,LAL,1369.0,2024
Bam Adebayo,MIA,1367.0,2024
Chet Holmgren,OKC,1357.0,2024
Jordan Poole,WAS,1356.0,2024
Michael Porter Jr.,DEN,1356.0,2024
Jalen Williams,OKC,1355.0,2024
Joel Embiid,PHI,1353.0,2024
Karl-Anthony Towns,MIN,1349.0,2024
Bogdan Bogdanović,ATL,1333.0,2024
Brandon Ingram,NOP,1332.0,2024
Alperen Şengün,HOU,1331.0,2024
Devin Vassell,SAS,1323.0,2024
CJ McCollum,NOP,1322.0,2024
Myles Turner,IND,1313.0,2024
Austin Reaves,LAL,1300.0,2024
Brandon Miller,CHO,1279.0,2024
Lauri Markkanen,UTA,1278.0,2024
Jarrett Allen,CLE,1271.0,2024
Fred VanVleet,HOU,1270.0,2024
Donte DiVincenzo,NYK,1259.0,2024
Jamal Murray,DEN,1250.0,2024
Jimmy Butler,MIA,1246.0,2024
Terry Rozier,2TM,1205.0,2024
Terry Rozier,CHO,696.0,2024
Terry Rozier,MIA,509.0,2024
Tobias Harris,PHI,1204.0,2024
James Harden,LAC,1192.0,2024
Scottie Barnes,TOR,1191.0,2024
Jonathan Kuminga,GSW,1188.0,2024
Jaden Ivey,DET,1185.0,2024
Keegan Murray,SAC,1172.0,2024
RJ Barrett,2TM,1170.0,2024
RJ Barrett,NYK,474.0,2024
RJ Barrett,TOR,696.0,2024
Immanuel Quickley,2TM,1156.0,2024
Immanuel Quickley,NYK,450.0,2024
Immanuel Quickley,TOR,706.0,2024
Kristaps Porziņģis,BOS,1145.0,2024
Tim Hardaway Jr.,DAL,1139.0,2024
Jerami Grant,POR,1132.0,2024
Bobby Portis,MIL,1130.0,2024
Dennis Schröder,2TM,1122.0,2024
Dennis Schröder,TOR,698.0,2024
Dennis Schröder,BRK,424.0,2024
Malik Monk,SAC,1110.0,2024
Derrick White,BOS,1107.0,2024
Deni Avdija,WAS,1102.0,2024
Julius Randle,NYK,1102.0,2024
Naz Reid,MIN,1090.0,2024
Keldon Johnson,SAS,1084.0,2024
Corey Kispert,WAS,1070.0,2024
Rudy Gobert,MIN,1061.0,2024
Norman Powell,LAC,1056.0,2024
Kelly Oubre Jr.,PHI,1049.0,2024
Jabari Smith Jr.,HOU,1044.0,2024
Anfernee Simons,POR,1039.0,2024
Darius Garland,CLE,1028.0,2024
John Collins,UTA,1027.0,2024
Grayson Allen,PHO,1014.0,2024
Aaron Gordon,DEN,1013.0,2024
Buddy Hield,2TM,1013.0,2024
Buddy Hield,IND,623.0,2024
Buddy Hield,PHI,390.0,2024
Jonas Valančiūnas,NOP,1002.0,2024
Harrison Barnes,SAC,1000.0,2024
Desmond Bane,MEM,997.0,2024
Brook Lopez,MIL,990.0,2024
Josh Giddey,OKC,986.0,2024
Keyonte George,UTA,974.0,2024
Gary Trent Jr.,TOR,974.0,2024
Bradley Beal,PHO,964.0,2024
Caris LeVert,CLE,952.0,2024
Jalen Suggs,ORL,943.0,2024
Jordan Clarkson,UTA,942.0,2024
Andrew Wiggins,GSW,939.0,2024
P.J. Washington,2TM,939.0,2024
P.J. Washington,CHO,600.0,2024
P.J. Washington,DAL,339.0,2024
Cole Anthony,ORL,937.0,2024
Ayo Dosunmu,CHI,924.0,2024
Rui Hachimura,LAL,923.0,2024
Deandre Ayton,POR,920.0,2024
Dillon Brooks,HOU,915.0,2024
Jalen Johnson,ATL,896.0,2024
De'Andre Hunter,ATL,891.0,2024
Malik Beasley,MIL,889.0,2024
Jaime Jaquez Jr.,MIA,889.0,2024
Aaron Nesmith,IND,877.0,2024
Tyler Herro,MIA,875.0,2024
Duncan Robinson,MIA,875.0,2024
Mike Conley,MIN,869.0,2024
Scoot Henderson,POR,868.0,2024
Moritz Wagner,ORL,868.0,2024
Bojan Bogdanović,2TM,868.0,2024
Bojan Bogdanović,DET,565.0,2024
Bojan Bogdanović,NYK,303.0,2024
Saddiq Bey,ATL,863.0,2024
Jeremy Sochan,SAS,861.0,2024
Luguentz Dort,OKC,860.0,2024
Jrue Holiday,BOS,860.0,2024
Bennedict Mathurin,IND,856.0,2024
Max Strus,CLE,853.0,2024
Obi Toppin,IND,843.0,2024
Trey Murphy III,NOP,842.0,2024
Nic Claxton,BRK,841.0,2024
Jalen Duren,DET,841.0,2024
Herbert Jones,NOP,837.0,2024
Clint Capela,ATL,836.0,2024
Reggie Jackson,DEN,833.0,2024
Jusuf Nurkić,PHO,829.0,2024
Khris Middleton,MIL,828.0,2024
Daniel Gafford,2TM,814.0,2024
Daniel Gafford,WAS,490.0,2024
Daniel Gafford,DAL,324.0,2024
Spencer Dinwiddie,2TM,795.0,2024
Spencer Dinwiddie,BRK,604.0,2024
Spencer Dinwiddie,LAL,191.0,2024
Ivica Zubac,LAC,794.0,2024
Tyus Jones,WAS,790.0,2024
Payton Pritchard,BOS,787.0,2024
Evan Mobley,CLE,785.0,2024
Grant Williams,2TM,784.0,2024
Grant Williams,DAL,382.0,2024
Grant Williams,CHO,402.0,2024
Zach Collins,SAS,776.0,2024
Cameron Johnson,BRK,776.0,2024
Tre Jones,SAS,771.0,2024
Georges Niang,CLE,768.0,2024
Kentavious Caldwell-Pope,DEN,766.0,2024
Kelly Olynyk,2TM,762.0,2024
Kelly Olynyk,UTA,406.0,2024
Kelly Olynyk,TOR,356.0,2024
Josh Hart,NYK,761.0,2024
Jaden McDaniels,MIN,757.0,2024
Russell Westbrook,LAC,754.0,2024
Eric Gordon,PHO,749.0,2024
OG Anunoby,2TM,733.0,2024
OG Anunoby,TOR,408.0,2024
OG Anunoby,NYK,325.0,2024
T.J. McConnell,IND,727.0,2024
Bruce Brown,2TM,726.0,2024
Bruce Brown,IND,398.0,2024
Bruce Brown,TOR,328.0,2024
Alex Caruso,CHI,715.0,2024
Sam Hauser,BOS,712.0,2024
GG Jackson II,MEM,699.0,2024
Taurean Prince,LAL,697.0,2024
Simone Fontecchio,2TM,692.0,2024
Simone Fontecchio,UTA,445.0,2024
Simone Fontecchio,DET,247.0,2024
Malaki Branham,SAS,690.0,2024
Alec Burks,2TM,689.0,2024
Alec Burks,DET,540.0,2024
Alec Burks,NYK,149.0,2024
Brandin Podziemski,GSW,682.0,2024
Andre Drummond,CHI,663.0,2024
Terance Mann,LAC,658.0,2024
Derrick Jones Jr.,DAL,657.0,2024
Nickeil Alexander-Walker,MIN,655.0,2024
Kevin Huerter,SAC,655.0,2024
Santi Aldama,MEM,654.0,2024
Nick Richards,CHO,652.0,2024
Isaac Okoro,CLE,647.0,2024
Caleb Martin,MIA,640.0,2024
Jabari Walker,POR,638.0,2024
Isaiah Joe,OKC,636.0,2024
Andrew Nembhard,IND,626.0,2024
Duop Reath,POR,617.0,2024
Malcolm Brogdon,POR,613.0,2024
Royce O'Neale,2TM,608.0,2024
Royce O'Neale,BRK,364.0,2024
Royce O'Neale,PHO,244.0,2024
Wendell Carter Jr.,ORL,603.0,2024
Jalen Smith,IND,601.0,2024
Christian Braun,DEN,600.0,2024
Paul Reed,PHI,600.0,2024
Amen Thompson,HOU,592.0,2024
Marcus Sasser,DET,586.0,2024
Marvin Bagley III,2TM,583.0,2024
Marvin Bagley III,DET,265.0,2024
Marvin Bagley III,WAS,318.0,2024
Isaiah Hartenstein,NYK,582.0,2024
Dorian Finney-Smith,BRK,580.0,2024
Cam Whitmore,HOU,579.0,2024
Cameron Payne,2TM,578.0,2024
Cameron Payne,MIL,291.0,2024
Cameron Payne,PHI,287.0,2024
Lonnie Walker IV,BRK,565.0,2024
Precious Achiuwa,2TM,565.0,2024
Precious Achiuwa,TOR,193.0,2024
Precious Achiuwa,NYK,372.0,2024
Al Horford,BOS,562.0,2024
Miles McBride,NYK,562.0,2024
Onyeka Okongwu,ATL,561.0,2024
Cason Wallace,OKC,561.0,2024
Dalano Banton,2TM,557.0,2024
Dalano Banton,BOS,56.0,2024
Dalano Banton,POR,501.0,2024
Ausar Thompson,DET,556.0,2024
Jakob Poeltl,TOR,555.0,2024
Aaron Wiggins,OKC,542.0,2024
Trayce Jackson-Davis,GSW,540.0,2024
Moses Moody,GSW,533.0,2024
Chris Paul,GSW,533.0,2024
Bilal Coulibaly,WAS,532.0,2024
Peyton Watson,DEN,532.0,2024
Jaden Hardy,DAL,530.0,2024
Toumani Camara,POR,527.0,2024
LaMelo Ball,CHO,526.0,2024
Jordan Hawkins,NOP,524.0,2024
Vince Williams Jr.,MEM,521.0,2024
Walker Kessler,UTA,518.0,2024
Talen Horton-Tucker,UTA,516.0,2024
Dario Šarić,GSW,515.0,2024
Aaron Holiday,HOU,514.0,2024
Gradey Dick,TOR,510.0,2024
Shaedon Sharpe,POR,510.0,2024
Jeff Green,HOU,509.0,2024
Kyle Anderson,MIN,506.0,2024
Julian Champagnie,SAS,504.0,2024
Isaiah Stewart,DET,503.0,2024
Gordon Hayward,2TM,500.0,2024
Gordon Hayward,CHO,362.0,2024
Gordon Hayward,OKC,138.0,2024
Cedi Osman,SAS,489.0,2024
Zach LaVine,CHI,487.0,2024
Kyle Lowry,2TM,487.0,2024
Kyle Lowry,MIA,303.0,2024
Kyle Lowry,PHI,184.0,2024
Kevin Love,MIA,485.0,2024
Sam Merrill,CLE,485.0,2024
Dereck Lively II,DAL,483.0,2024
Draymond Green,GSW,475.0,2024
Josh Green,DAL,469.0,2024
Naji Marshall,NOP,466.0,2024
Amir Coffey,LAC,463.0,2024
Ochai Agbaji,2TM,455.0,2024
Ochai Agbaji,UTA,274.0,2024
Ochai Agbaji,TOR,181.0,2024
Patrick Beverley,2TM,451.0,2024
Patrick Beverley,PHI,294.0,2024
